suburb,postcode,lga,latitude,longitude,irsd_score,irsd_decile,ier_score,ier_decile,ieo_score,ieo_decile,medianPrice,growth1yr,crimeRate,schoolRating,schoolCount,primarySchools,secondarySchools,primaryCommuteMinutes,secondaryCommuteMinutes,rentalYield,transitScore,walkScore,parksDensity,childcareCenters,shoppingCenters,cafesRestaurants,medicalCenters,bikeScore,category
Abbotsford,3067,Yarra,-37.8021095,145.0019064,1077,9,951,3,1163,10,1250000,-7,538.29,60.0,0,0,0,0,0,4,76,85,3,3,2,10,2,50,INNER METRO
Albanvale,3021,,-37.7459531,144.7700614,961,3,1006,6,971,5,0,0.0,100.0,60.0,0,0,0,0,0,4,36,41,3,3,2,10,2,50,OUTER GROWTH
Albert Park,3206,Port Phillip,-37.8460268,144.9584302,1084,9,996,5,1160,10,2300000,7.68,519.82,60.0,0,0,0,0,0,4,66,87,3,3,2,10,2,50,BAYSIDE
Albion,3020,Brimbank,-37.7756888,144.8154041,1078,9,967,4,1113,9,765000,-8,344.52,60.0,0,0,0,0,0,4,47,34,3,3,2,10,2,50,OUTER GROWTH
Altona,3018,Hobsons Bay,-37.8645245,144.8309509,1040,7,1007,6,1054,8,1135000,-4,274.49,60.0,0,0,0,0,0,4,53,82,3,3,2,10,2,50,BAYSIDE
Altona Meadows,3028,Hobsons Bay,-37.8715626,144.7775818,983,4,978,4,968,5,690000,-7,274.49,60.0,0,0,0,0,0,4,48,74,3,3,2,10,2,50,OUTER GROWTH
Altona North,3025,Hobsons Bay,-37.8388686,144.8346241,968,3,963,3,1011,6,880500,-7,274.49,60.0,0,0,0,0,0,4,41,6,3,3,2,10,2,50,INNER METRO
Ardeer,3022,Brimbank,-37.7776716,144.7988921,903,2,894,1,970,5,628500,-8,100.0,60.0,0,0,0,0,0,4,47,22,3,3,2,10,2,50,OUTER GROWTH
Arthurs Seat,3936,Mornington Peninsula,-38.3542356,144.9556145,997,5,989,5,962,5,1450000,-2.5,187.39,60.0,0,0,0,67,21,4,50,10,3,3,2,10,2,50,BAYSIDE
Ascot Vale,3032,Moonee Valley,-37.7745085,144.9278026,1015,6,981,4,1093,9,1300500,-2,316.22,60.0,0,0,0,0,0,4,72,90,3,3,2,10,2,50,INNER METRO
Aspendale,3195,Kingston,-38.0196821,145.0988172,1080,9,1108,10,1054,8,1272500,-5.04,253.59,91.0,2,1,1,46,60,4,41,49,3,3,2,10,2,50,BAYSIDE
Aspendale Gardens,3195,Kingston,-38.0231393,145.1178025,1080,9,1108,10,1054,8,1230000,8.01,253.59,91.0,2,1,1,41,55,4,34,46,3,3,2,10,2,50,OUTER GROWTH
Attwood,3049,Hume,-37.6697809,144.8855923,997,5,1031,7,973,5,950000,-4,100.0,60.0,0,0,0,0,0,4,36,34,3,3,2,10,2,50,OUTER GROWTH
Avondale Heights,3034,Moonee Valley,-37.7628247,144.8648709,1008,5,1016,6,1003,6,936000,-5,316.22,60.0,0,0,0,0,0,4,45,59,3,3,2,10,2,50,INNER METRO
Badger Creek,3777,Yarra Ranges,-37.6812591,145.5321371,1054,7,1060,9,1049,7,732500,2,100.0,60.0,0,0,0,0,0,4,50,15,3,3,2,10,2,50,HILLS & RANGES
Balwyn,3103,Boroondara,-37.8128937,145.0813238,1064,8,1040,8,1142,10,2905000,-1.66,241.83,60.0,0,0,0,15,83,4,55,93,3,3,2,10,2,50,INNER METRO
Balwyn North,3104,Boroondara,-37.7941151,145.0879338,1075,9,1078,9,1127,9,2302500,-2.77,241.83,60.0,0,0,0,11,79,4,54,66,3,3,2,10,2,50,INNER METRO
Bangholme,3175,Greater Dandenong,-38.0453436,145.1702424,1045,7,1026,7,1027,7,850000,3.2,410.21,89.0,8,5,2,38,53,4,0,0,3,3,2,10,2,50,OUTER GROWTH
Bayswater,3153,Knox,-37.8426014,145.2704817,1004,5,985,4,998,6,887000,4.05,243.52,60.0,0,0,0,23,73,4,48,74,3,3,2,10,2,50,HILLS & RANGES
Bayswater North,3153,Knox,-37.8259876,145.2874972,1029,6,1032,7,991,6,901000,3.56,243.52,60.0,0,0,0,24,76,4,38,41,3,3,2,10,2,50,HILLS & RANGES
Beaconsfield,3807,Cardinia,-38.0478022,145.3699169,1082,9,983,4,1144,10,982500,-2.72,186.09,60.0,0,0,0,50,75,4,61,76,3,3,2,10,2,50,HILLS & RANGES
Beaconsfield Upper,3808,Cardinia,-38.0048693,145.4094742,1065,8,1035,7,1064,8,1302500,-22.12,115.14,60.0,0,0,0,54,79,4,50,31,3,3,2,10,2,50,HILLS & RANGES
Beaumaris,3193,Bayside,-37.9825379,145.0418067,1108,10,1107,10,1129,10,2080000,4.0,243.49,60.0,0,0,0,52,67,4,38,67,3,3,2,10,2,50,BAYSIDE
Belgrave,3160,Yarra Ranges,-37.9112468,145.3571402,1072,9,1086,9,1057,8,799000,-6.14,131.08,60.0,0,0,0,39,79,4,48,66,3,3,2,10,2,50,HILLS & RANGES
Belgrave Heights,3160,Yarra Ranges,-37.9244173,145.3479199,1071,9,1075,9,1054,8,988000,5.47,131.08,60.0,0,0,0,41,77,4,23,37,3,3,2,10,2,50,HILLS & RANGES
Belgrave South,3160,Yarra Ranges,-37.930598,145.3595275,1072,9,1080,9,1056,8,960250,6.98,0.0,60.0,0,0,0,42,75,4,23,44,3,3,2,10,2,50,HILLS & RANGES
Bellfield,3081,Banyule,-37.7534944,145.0394197,791,1,902,1,886,1,944000,-2,252.91,60.0,0,0,0,0,0,4,50,75,3,3,2,10,2,50,INNER METRO
Bentleigh,3204,Glen Eira,-37.9188435,145.0417166,1069,9,1042,8,1115,9,1690000,-2,221.37,60.0,0,0,0,0,0,4,53,94,3,3,2,10,2,50,OUTER GROWTH
Bentleigh East,3165,Glen Eira,-37.9174873,145.0658766,1067,9,1051,8,1097,9,1430000,-4,221.37,60.0,0,0,0,0,0,4,47,60,3,3,2,10,2,50,OUTER GROWTH
Berwick,3806,Casey,-38.0264207,145.3475331,1057,8,1053,8,1025,7,880000,1.15,227.98,92.6,11,5,4,47,71,4,41,77,3,3,2,10,2,50,HILLS & RANGES
Beveridge,3753,Mitchell,-37.4822825,144.9832134,986,4,1028,7,965,4,650000,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,OUTER GROWTH
Big Pats Creek,3799,Yarra Ranges,-37.7645012,145.7510159,1062,8,1069,9,1059,7,0,0.0,100.0,60.0,0,0,0,0,0,4,50,0,3,3,2,10,2,50,HILLS & RANGES
Bittern,3918,Mornington Peninsula,-38.3388408,145.1761518,1042,7,1042,8,1013,6,850000,2,100.0,60.0,0,0,0,0,0,4,27,36,3,3,2,10,2,50,OUTER GROWTH
Black Rock,3193,Bayside,-37.9809272,145.0328017,1094,10,1068,9,1136,10,2280000,-6.94,243.49,60.0,0,0,0,54,70,4,36,78,3,3,2,10,2,50,BAYSIDE
Blackburn,3130,Whitehorse,-37.8197129,145.1530529,1069,9,1040,8,1105,9,1618000,3.65,235.08,60.0,0,0,0,13,77,4,64,90,3,3,2,10,2,50,OUTER GROWTH
Blackburn North,3130,Whitehorse,-37.8064051,145.1586444,1056,8,1042,8,1089,8,1320000,3.13,235.08,60.0,0,0,0,9,74,4,52,47,3,3,2,10,2,50,OUTER GROWTH
Blackburn South,3130,Whitehorse,-37.8388667,145.151231,1054,8,1024,7,1092,9,1395000,2.57,235.08,60.0,0,0,0,17,76,4,41,58,3,3,2,10,2,50,OUTER GROWTH
Blairgowrie,3942,Mornington Peninsula,-38.3687875,144.7712835,1023,6,1024,6,994,6,1375000,-8.33,187.39,60.0,0,0,0,80,7,4,26,16,3,3,2,10,2,50,OUTER GROWTH
Blind Bight,3980,Casey,-38.2156242,145.3406393,996,6,1032,7,1010,6,806000,14,100.0,60.0,0,0,0,0,0,4,50,7,3,3,2,10,2,50,HILLS & RANGES
Bonbeach,3196,Kingston,-38.0604328,145.1260029,1043,7,999,5,1047,8,1042500,-6.92,253.59,92.0,6,5,1,47,56,4,45,47,3,3,2,10,2,50,BAYSIDE
Boronia,3155,Knox,-37.8610682,145.2867055,1015,6,992,5,998,6,851000,0.12,243.52,60.0,0,0,0,27,76,4,50,92,3,3,2,10,2,50,HILLS & RANGES
Botanic Ridge,3977,Casey,-38.1395065,145.2548626,988,5,1035,7,951,4,870000,-4.13,0.0,90.0,21,14,5,53,52,4,24,3,3,3,2,10,2,50,HILLS & RANGES
Box Hill,3128,Whitehorse,-37.8181073,145.1238563,991,4,928,2,1096,9,1700000,-0.29,235.08,60.0,0,0,0,12,79,4,79,96,3,3,2,10,2,50,OUTER GROWTH
Box Hill North,3129,Whitehorse,-37.8017621,145.1268438,1041,7,1016,6,1106,9,1357000,-2.3,235.08,60.0,0,0,0,8,74,4,52,60,3,3,2,10,2,50,OUTER GROWTH
Box Hill South,3128,Whitehorse,-37.8385248,145.120253,1011,5,954,4,1115,9,1467500,-2.17,235.08,60.0,0,0,0,16,76,4,58,59,3,3,2,10,2,50,OUTER GROWTH
Brighton,3186,Bayside,-37.9044002,144.9997396,1005,5,984,4,1037,7,3350000,-0.65,243.49,60.0,0,0,0,0,0,4,59,93,3,3,2,10,2,50,BAYSIDE
Brighton East,3187,Bayside,-37.9179439,145.0190242,1090,10,1093,10,1138,10,2176500,-9.69,243.49,60.0,0,0,0,56,73,4,50,57,3,3,2,10,2,50,BAYSIDE
Brookfield,3338,Melton,-37.699465,144.5468869,952,3,1015,6,920,3,560000,-2,100.0,60.0,0,0,0,0,0,4,23,14,3,3,2,10,2,50,OUTER GROWTH
Brunswick,3056,Merri-bek,-37.7666099,144.9584302,1004,5,994,5,1028,7,1300000,-2,348.82,60.0,0,0,0,0,0,4,71,97,3,3,2,10,2,50,INNER METRO
Brunswick East,3057,Merri-bek,-37.7673388,144.9802463,1076,9,943,2,1162,10,1400000,4,348.82,60.0,0,0,0,0,0,4,73,86,3,3,2,10,2,50,INNER METRO
Brunswick West,3055,Merri-bek,-37.7586481,144.9448586,1047,7,949,3,1112,9,1275000,-1,348.82,60.0,0,0,0,0,0,4,58,84,3,3,2,10,2,50,INNER METRO
Bulleen,3105,Manningham,-37.7660476,145.0879338,1047,7,1037,7,1061,8,1318000,-2.37,147.03,60.0,0,0,0,10,83,4,42,79,3,3,2,10,2,50,OUTER GROWTH
Bundoora,3083,Whittlesea,-37.6948854,145.0622727,1024,6,1013,6,1016,7,1130000,0.0,231.53,60.0,0,0,0,0,0,4,57,76,3,3,2,10,2,50,OUTER GROWTH
Burnside,3023,Melton,-37.7469113,144.7485686,982,4,1044,8,958,4,789000,0.0,100.0,96.0,1,0,0,0,0,4,41,20,3,3,2,10,2,50,OUTER GROWTH
Burnside Heights,3023,Melton,-37.7310619,144.7593958,1006,5,1062,9,1005,6,736250,0.0,100.0,96.0,1,0,0,0,0,4,38,25,3,3,2,10,2,50,OUTER GROWTH
Burwood,3125,Whitehorse,-37.8483275,145.1099967,940,2,849,1,1091,9,1509000,4.07,235.08,60.0,0,0,0,19,75,4,60,65,3,3,2,10,2,50,OUTER GROWTH
Burwood East,3151,Whitehorse,-37.8552869,145.1513801,1031,6,1009,6,1063,8,1325000,3.52,235.08,60.0,0,0,0,20,73,4,59,77,3,3,2,10,2,50,OUTER GROWTH
Cairnlea,3023,Brimbank,-37.7574652,144.7844769,951,3,1044,8,968,5,712000,-10,344.52,96.0,1,0,0,0,0,4,36,65,3,3,2,10,2,50,OUTER GROWTH
Camberwell,3124,Boroondara,-37.8334095,145.0658766,1097,10,1068,9,1156,10,2600000,-2.4,241.83,60.0,0,0,0,23,78,4,70,69,3,3,2,10,2,50,INNER METRO
Campbellfield,3061,Hume,-37.665113,144.955677,791,1,902,1,886,1,560000,-7,100.0,60.0,0,0,0,0,0,4,42,36,3,3,2,10,2,50,OUTER GROWTH
Canterbury,3126,Boroondara,-37.8245223,145.0741474,977,4,963,3,1041,7,3388000,4.17,241.83,60.0,0,0,0,19,81,4,61,75,3,3,2,10,2,50,INNER METRO
Carlton,3053,Melbourne,-37.798389,144.9694441,962,3,773,1,1143,10,1380000,-2.51,457.97,60.0,0,0,0,24,89,4,100,99,3,3,2,10,2,50,INNER METRO
Carlton North,3054,Melbourne,-37.782195,144.9731431,1087,10,969,4,1169,10,1650000,10.0,457.97,60.0,0,0,0,25,91,4,78,93,3,3,2,10,2,50,INNER METRO
Carnegie,3163,Glen Eira,-37.8891994,145.0570577,1062,8,973,4,1122,9,1380000,2.5,221.37,60.0,0,0,0,40,76,4,77,92,3,3,2,10,2,50,INNER METRO
Caroline Springs,3023,Melton,-37.7431281,144.7356782,1014,6,1040,8,1013,6,610000,0.0,224.38,96.0,1,0,0,0,0,4,42,43,3,3,2,10,2,50,OUTER GROWTH
Carrum,3197,Kingston,-38.0763552,145.123188,1043,7,1035,7,1027,7,1100500,6.07,253.59,95.5,2,2,0,43,52,4,51,64,3,3,2,10,2,50,BAYSIDE
Carrum Downs,3201,Frankston,-38.0975353,145.1706992,986,4,991,5,938,3,740000,3.5,306.42,88.3,3,2,1,42,49,4,40,53,3,3,2,10,2,50,OUTER GROWTH
