# FOR PERSONAL USE ONLY - Testing B-Score functionality
# Contains test data for simulating user property evaluations
# The sourceUrl field contains personal test data links - FOR PERSONAL USE ONLY
id,address,suburb,postcode,price,propertyType,landSize,bedrooms,bathrooms,streetQuality,renovationCost,hampzScore,gaheeScore,bScore,isFavorite,tags,notes,dateAdded,sourceUrl
1763295210958,"58 Woodlands Grove,","Frankston",3199,585000,house,185,3,0,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/6-connal-drive-frankston-vic-3199-2020357802"
1763296367340,"21 Monterey Boulevard, Frankston North VIC 3200","Frankston North",3200,588500,house,578,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/21-monterey-boulevard-frankston-north-vic-3200-2020406030"
1763296475752,"86 Excelsior Drive, Frankston North VIC 3200","Frankston North",3200,599200,house,591,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/86-excelsior-drive-frankston-north-vic-3200-2020359280"
1763296549391,"1 Agathea Court, Frankston North VIC 3200","Frankston North",3200,672000,house,592,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/1-agathea-court-frankston-north-vic-3200-2020387362"
1763296625209,"4 Longleaf Street, Frankston North VIC 3200","Frankston North",3200,680000,house,763,4,2,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/4-longleaf-street-frankston-north-vic-3200-2020349080"
1763296905716,"7 Corsican Street, Frankston North VIC 3200","Frankston North",3200,132025,house,590,3,0,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/7-corsican-street-frankston-north-vic-3200-2020224962"
1763296939815,"5 Chile Street, Frankston North VIC 3200","Frankston North",3200,222025,house,617,3,0,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/5-chile-street-frankston-north-vic-3200-2020237776"
1763297517495,"1 Willora Court, Frankston South VIC 3199","Frankston South",3199,162025,house,0,4,2,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/1-willora-court-frankston-south-vic-3199-2020302706"
1763297554139,"49 Jasper Terrace, Frankston South VIC 3199","Frankston South",3199,349000,house,672,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/49-jasper-terrace-frankston-south-vic-3199-2020311036"
1763297824719,"17 Phillip Street, Frankston VIC 3199","Frankston",3199,642000,house,324,2,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/17-phillip-street-frankston-vic-3199-2020425853"
1763298688467,"37 Candlebark Crescent, Frankston North VIC 3200","Frankston North",3200,675000,house,690,4,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/37-candlebark-crescent-frankston-north-vic-3200-2020388318"
1763298834037,"14 Hickory Crescent Frankston N…","Frankston North",3200,379000,house,590,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/379-frankston-dandenong-road-frankston-north-vic-3200-2020410567"
1763298953535,"16 Hickory Crescent, Frankston North VIC 3200","Frankston North",3200,630000,house,628,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/16-hickory-crescent-frankston-north-vic-3200-2020406145"
1763299265978,"17 Buna Avenue, Seaford VIC 3198","Seaford",3198,650000,house,239,2,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/17-buna-avenue-seaford-vic-3198-2020382452"
1763299335092,"1 Brunel Road, Seaford VIC 3198","Seaford",3198,600000,house,423,1,0,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/1-brunel-road-seaford-vic-3198-2020384777"
1763299441852,"21 Quinn Street Seaford","Seaford",3198,164000,house,625,4,0,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/164-frankston-dandenong-road-seaford-vic-3198-2020353129"
1763299714550,"23 Robin Drive, Carrum Downs VIC 3201","Carrum Downs",3201,680000,house,212,3,2,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/23-robin-drive-carrum-downs-vic-3201-2020377664"
1763299745059,"40 Brunnings Road, Carrum Downs VIC 3201","Carrum Downs",3201,680000,house,453,3,0,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/40-brunnings-road-carrum-downs-vic-3201-2020349381"
1763299779609,"14 Goldfinch Court, Carrum Downs VIC 3201","Carrum Downs",3201,500000,house,668,3,2,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/14-goldfinch-court-carrum-downs-vic-3201-2020415295"
1763299887180,"19 Parkdale Drive, Carrum Downs VIC 3201","Carrum Downs",3201,675000,house,530,3,2,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/19-parkdale-drive-carrum-downs-vic-3201-2020348600"
1763299925461,"13 Currawong Drive, Carrum Downs VIC 3201","Carrum Downs",3201,460000,house,286,2,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/13-currawong-drive-carrum-downs-vic-3201-2020423582"
